"P load at outlet","Ann. min discharge","Crop production","NSWRM costs","linE","pond_share_con","hedge_share_con","grassslope_share_con","buffer_share_con","lowtillcc_share_con","lu_share","pond_moran","hedge_moran","grassslope_moran","buffer_moran","lowtillcc_moran","pond_channel_frac","grassslope_channel_frac","buffer_channel_frac","lowtillcc_channel_frac"
-6882,0.14165,59069.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6756,0.14155,59073.816,-3016.50175,100,9.68195764424156,0,0,0,0.246247848906077,0,5.99301868756918e-05,0,0,0,0.000109052342667446,0,0,0,0
-6712,0.14173,58983.255,10779.69397,0,0,0,8.91433764124445,51.7894894953913,0,100,0,0,0.000210405493096278,0.00169373709425699,0,0,1.10056001184081,1.38990034004247,0
-6352,0.14416,58950.782,-138733.03081,2.38095238095238,46.5120107760233,0,5.25584978029932,0,39.1659192220272,0.17528012596604,0.000152070567988157,0,0.000139350518042276,0,0.00279044918015642,2.11765133378383,189.028013453454,0,0.104440987413213
-6701,0.14147,59072.501,-7185.66178,133.333333333333,27.3636159545012,0,0,0.751522417225144,0.322512604507567,0.790123857652254,0.000143327578229331,0,0,0.000248304685375714,0.000212388235286265,3.01621593830334,0,10.707,0
-6398,0.14362,59032.04,-128089.19091,2.51046025104602,40.431040933922,0,5.25584978029932,0,36.3843061940524,0.188657504746138,0.000116703838703129,0,0.000139350518042276,0,0.00321516398940033,2.04136655067743,189.028013453454,0,0.110756899058347
-6441,0.14394,59062.358,-156707.0481,1.4760147601476,40.4953977400284,0,0,0,44.2896477569891,0,0.000270370123786682,0,0,0,0.00225879416994784,1.78904721513841,0,0,0.130741163588664
-6354,0.1433,59128.751,-153657.54133,0.749063670411985,25.4239317518521,0,0,0,44.4037818682215,0,0.000151068247574596,0,0,0,0.00198305519248154,0,0,0,0.103450893381545
-6795,0.14269,59038.643,-41316.07093,6.12244897959184,0,2.15607099715544,1.74299898628276,1.60973336290664,8.05257731216874,0.536803653697764,0,0.000234308456885369,9.14492808262898e-05,0.000188954788456064,0.000853870899173352,0,93.794,22.934,0.0180502023300345
-6354,0.14381,59057.414,-146666.36181,1.21457489878543,33.9489635560877,0,0,0,41.7219013020726,0,9.30992342868705e-05,0,0,0,0.00259892751071111,2.43113679848345,0,0,0.225212185533802
-6868,0.1421,59049.871,-16994.01465,0,0,0,0,0,5.1024270224196,0,0,0,0,0,0.000813236296306247,0,0,0,0.400258197120008
-6537,0.1419,58964.218,-8640.67943,231.25,50.4003592007783,0,8.7916137430696,51.7894894953913,2.39809581774345,10.9043212986543,5.59193567749754e-05,0,0.000204768742387345,0.00169373709425699,0.000883526337579155,1.46634435040832,2.13965933970699,1.38990034004247,1.09993699493131
-6266,0.1436,58884.305,-104276.4654,20.7865168539326,46.908628302028,0,8.7916137430696,51.7894894953913,31.2657106650242,0.932919921899075,0.000169213086209118,0,0.000204768742387345,0.00169373709425699,0.00340255129063472,1.39151349626699,2.13965933970699,1.38990034004247,3.94557227911923
-6509,0.14277,59043.859,-73675.94514,2.58620689655172,30.6802364738457,0,0,0,20.0298087414897,0,0.000141529743844225,0,0,0,0.00213065869804568,2.40885633445534,0,0,0.799779698497245
-6300,0.14353,59113.796,-158869.08214,0.719424460431655,25.4239317518521,0,0,0,45.9685390609774,0,0.000151068247574596,0,0,0,0.00204279432716728,0,0,0,0.109307088439139
-6767,0.14243,59012.414,-25318.96079,12.962962962963,0,0,7.25628277043068,3.43326492165412,8.75237801286515,1.20619540179936,0,0,0.000199776854563987,9.09817302823024e-05,0.00102162815883146,0,136.916224796017,15.0318712229628,0.0166069895003666
-6127,0.14177,59099.074,-139664.92831,2.9045643153527,33.8846067499813,0,1.38621883469905,11.140528445127,40.2478752058617,0.140764895258073,0.000103991031531721,0,8.598492791901e-05,0.000143642931173241,0.00179006869970059,2.90681318462898,13.570049681614,41.739288312752,0.323050123877253
-6702,0.14148,59073.524,-15083.0086,200,62.6506024096385,0,0,0,0.26142676956081,0,0.000150364562652748,0,0,0,0.000127229998342983,1.04187329192547,0,0,0
-6266,0.14366,58884.304,-104395.20492,20.6703910614525,46.908628302028,0,8.7916137430696,51.7894894953913,31.3013620251033,0.931867510689209,0.000169213086209118,0,0.000204768742387345,0.00169373709425699,0.00342031456221629,1.39151349626699,2.13965933970699,1.38990034004247,3.94107838463859
-6711,0.14174,58983.656,9443.04736,825,0,0,8.91433764124445,51.7894894953913,0.401326109383432,42.4568307931683,0,0,0.000210405493096278,0.00169373709425699,0.000642365489805903,0,1.10056001184081,1.38990034004247,0
-5890,0.14359,58901.612,-118513.94769,28.4552845528455,25.4239317518521,0,56.0142607994336,53.8068853407154,43.5652851875698,2.06680845097139,0.000151068247574596,0,0.000473168888884991,0.00150118159726149,0.00188715970967927,0,3.59825532150655,1.20837232370325,2.22775614202551
-6283,0.14394,59018.75,-150714.86224,8.14814814814815,40.4953977400284,0,0,44.7658748318954,44.2062837132132,0.349598191451519,0.000270370123786682,0,0,0.00123209561531465,0.00228259658626007,1.78904721513841,0,1.29022974271813,0.130987714783862
-6417,0.14394,59058.634,-155653.59416,2.5830258302583,40.4953977400284,0,2.25277517870135,0,44.2896477569891,0.0665129030154186,0.000270370123786682,0,0.000145218911095835,0,0.00225879416994784,1.78904721513841,50.7534771748635,0,0.130741163588664
